https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,C15,#REF!,242,0,0,0,242,,121,,,,0,,,,121,,,,0,,,
FITTING,C48,#REF!,"1,155",0,0,0,"1,155",,578,,,,578,,,,0,,,,0,,,
FITTING,PC24,#REF!,"4,000",0,0,0,"4,000",,"2,000",,,,"2,000",,,,0,,,,0,,,
FITTING,C94,#REF!,"2,180",0,0,0,"2,180",,"1,090",,,,"1,090",,,,0,,,,0,,,
FITTING,C601,#REF!,400,0,0,0,400,,200,,,,200,,,,0,,,,0,,,
PIPE,PS-17,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C854,#REF!,"1,200",0,0,0,"1,200",,600,,,,600,,,,0,,,,0,,,
FITTING,C863,#REF!,200,0,0,0,200,,100,,,,100,,,,0,,,,0,,,
FITTING,C61,#REF!,"1,008",0,0,0,"1,008",,504,,,,504,,,,0,,,,0,,,
FITTING,C875,#REF!,30,0,0,0,30,,15,,,,15,,,,0,,,,0,,,
FITTING,PC21,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C333,#REF!,"1,078",0,0,0,"1,078",,539,,,,539,,,,0,,,,0,,,
SOLVENT,S3,#REF!,"6,912",0,0,0,"6,912",,"3,456",,,,"3,456",,,,0,,,,0,,,
FITTING,C101,#REF!,"1,900",0,0,0,"1,900",,"1,900",,,,0,,,,0,,,,0,,,
PIPE,PS-4S,#REF!,230,0,0,0,230,,115,,,,115,,,,0,,,,0,,,
FITTING,C76,#REF!,45,0,0,0,45,,45,,,,0,,,,0,,,,0,,,
FITTING,C704,#REF!,300,0,0,0,300,,150,,,,150,,,,0,,,,0,,,
FITTING,CH74F,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C864,#REF!,600,0,0,0,600,,300,,,,300,,,,0,,,,0,,,
FITTING,C865,#REF!,220,0,0,0,220,,110,,,,110,,,,0,,,,0,,,
FITTING,C887,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,PC25,#REF!,"6,520",0,0,0,"6,520",,"3,260",,,,"3,260",,,,0,,,,0,,,
FITTING,C50,#REF!,224,0,0,0,224,,112,,,,112,,,,0,,,,0,,,
SOLVENT,S5,#REF!,"2,376",0,0,0,"2,376",,"1,188",,,,"1,188",,,,0,,,,0,,,
FITTING,C852,#REF!,800,0,0,0,800,,400,,,,400,,,,0,,,,0,,,
FITTING,C47,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CH78QS,#REF!,248,0,0,0,248,,124,,,,124,,,,0,,,,0,,,
FITTING,PC3,#REF!,500,0,0,0,500,,250,,,,250,,,,0,,,,0,,,
FITTING,C342,#REF!,100,0,0,0,100,,50,,,,50,,,,0,,,,0,,,
PIPE,PS-18,#REF!,"2,339",0,0,0,"2,339",,"1,170",,,,"1,170",,,,0,,,,0,,,
FITTING,C272,#REF!,"1,214",0,0,0,"1,214",,"1,214",,,,0,,,,0,,,,0,,,
