https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 2!B17:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col20,Col21,Col22,Col23,Col24",,,,,,,,"26,951",0,0,0,"23,925",0,0,0,898,0,0,0,"1,027",0,0,0,591,0,0,0
ITEM CODE,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
400-QR,63,0,0,0,63,400-QR-,400-QR,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
129-HG,3,0,0,0,3,129-HG-,129-HG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
130-QW,4,0,0,0,4,130-QW-,130-QW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
149-VP,6,0,0,0,6,149-VP-,149-VP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
134-QP,1,0,0,0,1,134-QP-,134-QP,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144-RG,210,0,0,0,210,144-RG-,144-RG,210,0,,,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0
144-QP,35,0,0,0,35,144-QP-,144-QP,35,0,,,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
1375-SFP,0,0,0,0,0,1375-SFP-,1375-SFP,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-IP,1,0,0,0,1,121-IP-,121-IP,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145-QG,0,0,0,0,0,145-QG-,145-QG,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-HW,0,0,0,0,0,132-QR-,132-QR,118,0,,,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
132-QR,118,0,0,0,118,147-DP-,147-DP,25,0,,,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
127-SG,-4,0,0,0,-4,121-IR-,121-IR,113,0,,,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0
132-HR,-5,0,0,0,-5,130-RG-,130-RG,53,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134-RR,-1,0,0,0,-1,144-NP-,144-NP,49,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-RG,-1,0,0,0,-1,129-RG-,129-RG,52,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-VR,-22,0,0,0,-22,130-NP-,130-NP,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
