category,item_code,colour
Cocks Standard,129-DB,BLACK
Cocks Standard,129-E,BURGUNDY
Cocks Standard,129-E,GREEN
Cocks Standard,129-E,IVORY
Cocks Standard,129-E,M GREEN
Cocks Standard,129-E,PINK
Cocks Standard,129-E,WHITE
Cocks Standard,129-EB,IVORY
Cocks Standard,129-EB,WHITE
Cocks Standard,129-H,BURGUNDY
Cocks Standard,129-H,GREEN
Cocks Standard,129-H,IVORY
Cocks Standard,129-H,M GREEN
Cocks Standard,129-H,PINK
Cocks Standard,129-H,WHITE
Cocks Standard,129-I,IVORY
Cocks Standard,129-I,WHITE
Cocks Standard,129-K,WHITE
Cocks Standard,129-L,WHITE
Cocks Standard,129-LS,WHITE
Cocks Standard,129-LSB,BLUE
Cocks Standard,129-N,IVORY
Cocks Standard,129-N,WHITE
Cocks Standard,129-O,BURGUNDY
Cocks Standard,129-O,GREEN
Cocks Standard,129-O,IVORY
Cocks Standard,129-O,M GREEN
Cocks Standard,129-O,PINK
Cocks Standard,129-O,WHITE
Cocks Standard,129-P,BURGUNDY
Cocks Standard,129-P,GREEN
Cocks Standard,129-P,IVORY
Cocks Standard,129-P,M GREEN
Cocks Standard,129-P,PINK
Cocks Standard,129-P,WHITE
Cocks Standard,129-Q,BURGUNDY
Cocks Standard,129-Q,GREEN
Cocks Standard,129-Q,IVORY
Cocks Standard,129-Q,M GREEN
Cocks Standard,129-Q,PINK
Cocks Standard,129-Q,WHITE
Cocks Standard,129-R,BURGUNDY
Cocks Standard,129-R,GREEN
Cocks Standard,129-R,IVORY
Cocks Standard,129-R,M GREEN
Cocks Standard,129-R,PINK
Cocks Standard,129-R,WHITE
Cocks Standard,129-S,BURGUNDY
Cocks Standard,129-S,GREEN
Cocks Standard,129-S,IVORY
Cocks Standard,129-S,M GREEN
Cocks Standard,129-S,PINK
Cocks Standard,129-S,WHITE
Cocks Standard,129-U,BURGUNDY
Cocks Standard,129-U,GREEN
Cocks Standard,129-U,IVORY
Cocks Standard,129-U,M GREEN
Cocks Standard,129-U,PINK
Cocks Standard,129-U,WHITE
Cocks Standard,129-V,BURGUNDY
Cocks Standard,129-V,GREEN
Cocks Standard,129-V,IVORY
Cocks Standard,129-V,M GREEN
Cocks Standard,129-V,PINK
Cocks Standard,129-V,WHITE
Cocks Standard,129.0,BURGUNDY
Cocks Standard,129.0,GREEN
Cocks Standard,129.0,IVORY
Cocks Standard,129.0,M GREEN
Cocks Standard,129.0,PINK
Cocks Standard,129.0,WHITE
Cocks Standard,1291.0,BURGUNDY
Cocks Standard,1291.0,GREEN
Cocks Standard,1291.0,IVORY
Cocks Standard,1291.0,M GREEN
Cocks Standard,1291.0,PINK
Cocks Standard,1291.0,WHITE
Cocks Standard,130-A,WHITE
Cocks Standard,130-AB,.
Cocks Standard,130-AP,IVORY
Cocks Standard,130-AP,WHITE
Cocks Standard,130-AS,IVORY
Cocks Standard,130-AS,WHITE
Cocks Standard,130-B,BURGUNDY
Cocks Standard,130-B,GREEN
Cocks Standard,130-B,IVORY
Cocks Standard,130-B,M GREEN
