id,item_code,colour,category,buffer_req,production_plan
420624,123-E,M GREEN,Cocks Standard,0,0
420625,123-E,PINK,Cocks Standard,0,0
420626,123-E,WHITE,Cocks Standard,9,0
420627,123-EF,BURGUNDY,Cocks Standard,0,0
420628,123-EF,GREEN,Cocks Standard,0,0
420629,123-EF,IVORY,Cocks Standard,0,0
420630,123-EF,M GREEN,Cocks Standard,0,0
420631,123-EF,PINK,Cocks Standard,0,0
420632,123-EF,WHITE,Cocks Standard,0,0
420633,123-EN,BURGUNDY,Cocks Standard,0,0
420634,123-EN,GREEN,Cocks Standard,0,0
420635,123-EN,IVORY,Cocks Standard,0,0
420636,123-EN,M GREEN,Cocks Standard,0,0
420637,123-EN,PINK,Cocks Standard,0,0
420638,123-EN,WHITE,Cocks Standard,0,0
420639,123-F,BURGUNDY,Cocks Standard,0,0
420640,123-F,GREEN,Cocks Standard,0,0
420641,123-F,IVORY,Cocks Standard,61.33,0
420642,123-F,M GREEN,Cocks Standard,0,0
420643,123-F,PINK,Cocks Standard,0,0
420644,123-F,WHITE,Cocks Standard,466,495
420645,123-FH,IVORY,Unclassified,,0
420646,123-FH,IVORY,Unclassified,,0
420647,123-FH,WHITE,Unclassified,,0
420648,123-FHG,,Cocks Premium,0,0
420649,123-FHP,,Cocks Premium,0,0
420650,123-FHR,,Cocks Premium,0,0
420651,123-FHW,,Cocks Premium,0,0
420652,123-FP,BURGUNDY,Cocks Standard,0,0
420653,123-FP,GREEN,Cocks Standard,0,0
420654,123-FP,IVORY,Cocks Standard,0,0
420655,123-FP,M GREEN,Cocks Standard,0,0
420656,123-FP,PINK,Cocks Standard,0,0
420657,123-FP,WHITE,Cocks Standard,18.67,11.67
420658,123-H,BURGUNDY,Cocks Standard,0,0
420659,123-H,GREEN,Cocks Standard,0,0
420660,123-H,IVORY,Cocks Standard,0,0
420661,123-H,M GREEN,Cocks Standard,0,0
420662,123-H,PINK,Cocks Standard,0,0
420663,123-H,WHITE,Cocks Standard,980,0
420664,123-HG,,Cocks Premium,20,0
420665,123-HN,,Unclassified,,0
420666,123-HNG,,Cocks Premium,0,0
420667,123-HNP,,Cocks Premium,0,0
420668,123-HNR,,Cocks Premium,0,0
420669,123-HNW,,Cocks Premium,0,0
420670,123-HP,,Cocks Premium,0,0
420671,123-HR,,Cocks Premium,20,14
420672,123-HW,,Cocks Premium,40,0
420673,123-I,IVORY,Cocks Standard,0,0
420674,123-I,WHITE,Cocks Standard,143,111
420675,123-IG,,Cocks Premium,11,22
420676,123-IP,,Cocks Premium,0,0
420677,123-IR,,Cocks Premium,0,0
420678,123-IW,,Cocks Premium,0,0
420679,123-K,WHITE,Cocks Standard,820,986
420680,123-KF,WHITE,Cocks Standard,0.33,0
420681,123-KN,WHITE,Cocks Standard,0,0
420682,123-L,IVORY,Cocks Standard,0,0
420683,123-L,WHITE,Cocks Standard,0,0
420684,123-LG,,Cocks Premium,0,0
420685,123-LP,,Cocks Premium,0,0
420686,123-LR,,Cocks Premium,0,0
420687,123-LS,WHITE,Cocks Standard,80,51
420688,123-LSB,BLUE,Cocks Standard,0,450
