item_code,category,colour,segment
124-V,Cocks Standard,WHITE,PTMT
124-VG,Cocks Premium,,PTMT
124-VP,Cocks Premium,54,PTMT
124-VR,Cocks Premium,,PTMT
124-VW,Cocks Premium,,PTMT
124-W,Cocks Standard,IVORY,PTMT
124-W,Cocks Standard,WHITE,PTMT
124-WS,Cocks Standard,IVORY,PTMT
124-WS,Cocks Standard,WHITE,PTMT
1241,Cocks Standard,BURGUNDY,PTMT
1241,Cocks Standard,GREEN,PTMT
1241,Cocks Standard,IVORY,PTMT
1241,Cocks Standard,M GREEN,PTMT
1241,Cocks Standard,PINK,PTMT
1241,Cocks Standard,WHITE,PTMT
1241-F,Cocks Standard,BURGUNDY,PTMT
1241-F,Cocks Standard,GREEN,PTMT
1241-F,Cocks Standard,IVORY,PTMT
1241-F,Cocks Standard,M GREEN,PTMT
1241-F,Cocks Standard,PINK,PTMT
1241-F,Cocks Standard,WHITE,PTMT
125-O,Cocks Standard,BURGUNDY,PTMT
125-O,Cocks Standard,GREEN,PTMT
125-O,Cocks Standard,IVORY,PTMT
125-O,Cocks Standard,M GREEN,PTMT
125-O,Cocks Standard,PINK,PTMT
125-O,Cocks Standard,WHITE,PTMT
125-S,Cocks Standard,IVORY,PTMT
125-S,Cocks Standard,WHITE,PTMT
125-WS,Cocks Standard,IVORY,PTMT
125-WS,Cocks Standard,WHITE,PTMT
126,Accessorise,,PTMT
126,Accessorise,IVORY,PTMT
126,Accessorise,WHITE,PTMT
126-SQ,Accessorise,,PTMT
126-SQ,Faucets & Jetsprays & Shower,,PTMT
126-SQ,Faucets & Jetsprays & Shower,IVORY,PTMT
126-SQ,Faucets & Jetsprays & Shower,PINK,PTMT
126-SQ,Faucets & Jetsprays & Shower,WHITE,PTMT
127,Cocks Standard,BURGUNDY,PTMT
127,Cocks Standard,GREEN,PTMT
127,Cocks Standard,IVORY,PTMT
127,Cocks Standard,M GREEN,PTMT
127,Cocks Standard,PINK,PTMT
127,Cocks Standard,WHITE,PTMT
127-A,Cocks Standard,WHITE,PTMT
127-AB,Cocks Standard,,PTMT
127-AP,Cocks Standard,IVORY,PTMT
127-AP,Cocks Standard,WHITE,PTMT
127-AS,Cocks Standard,IVORY,PTMT
127-AS,Cocks Standard,WHITE,PTMT
127-B,Cocks Standard,BURGUNDY,PTMT
127-B,Cocks Standard,GREEN,PTMT
127-B,Cocks Standard,IVORY,PTMT
127-B,Cocks Standard,M GREEN,PTMT
127-B,Cocks Standard,PINK,PTMT
127-B,Cocks Standard,WHITE,PTMT
127-C,Cocks Standard,BURGUNDY,PTMT
127-C,Cocks Standard,GREEN,PTMT
127-C,Cocks Standard,IVORY,PTMT
127-C,Cocks Standard,M GREEN,PTMT
127-C,Cocks Standard,PINK,PTMT
127-C,Cocks Standard,WHITE,PTMT
127-D,Cocks Standard,WHITE,PTMT
127-DB,Cocks Standard,BLACK,PTMT
127-DG,Cocks Standard,,PTMT
127-DP,Cocks Standard,PEACH,PTMT
127-DR,Cocks Standard,R BLUE,PTMT
