id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
418997,120-M,M GREEN,0,0,0,0
418998,120-M,PINK,0,0,0,0
418999,120-M,WHITE,1980,830,0,0
419000,120-R,BURGUNDY,0,0,0,0
419001,120-R,GREEN,0,0,0,0
419002,120-R,IVORY,840,626,0,0
419003,120-R,M GREEN,0,0,0,0
419004,120-R,PINK,0,0,0,0
419005,120-R,WHITE,440,100,0,0
419006,120-S,BURGUNDY,0,0,0,0
419007,120-S,GREEN,0,0,0,0
419008,120-S,IVORY,150,142,0,0
419009,120-S,M GREEN,0,0,0,0
419010,120-S,PINK,0,0,0,0
419011,120-S,WHITE,9550.67,0,0,1291
419012,120-W,BURGUNDY,0,0,0,0
419013,120-W,GREEN,0,0,0,0
419014,120-W,IVORY,420,434,0,0
419015,120-W,M GREEN,0,0,0,0
419016,120-W,PINK,0,0,0,0
419017,120-W,WHITE,570,863,0,0
419018,120-WS,BURGUNDY,0,0,0,0
419019,120-WS,GREEN,0,0,0,0
419020,120-WS,IVORY,13650,0,0,8028
419021,120-WS,M GREEN,0,0,0,0
419022,120-WS,PINK,0,0,0,0
419023,120-WS,WHITE,35933.33,0,0,17204
419024,121,BLUE,0,164,0,0
419025,121,BURGUNDY,0,0,0,0
419026,121,GREEN,0,0,0,0
419027,121,IVORY,27974.33,13827,0,0
419028,121,M GREEN,0,0,0,0
419029,121,PINK,72,0,0,130
419030,121,WHITE,25206.67,13157,0,0
419031,121-1E,,0,0,0,0
419032,121-A,IVORY,0,117,0,0
419033,121-A,WHITE,198,0,0,96
419034,121-AB,BLACK,0,31,0,0
419035,121-ABF,BLACK,0,0,0,0
419036,121-AF,WHITE,0,0,0,0
419037,121-AP,IVORY,418,152,0,0
419038,121-AP,WHITE,132,111,0,0
419039,121-APF,IVORY,0,0,0,0
419040,121-AS,IVORY,1100,0,0,957
419041,121-AS,WHITE,116,313,0,0
419042,121-ASF,IVORY,0,0,0,0
419043,121-ASF,WHITE,0,13,0,0
419044,121-B,BURGUNDY,0,0,0,0
419045,121-B,GREEN,0,0,0,0
419046,121-B,IVORY,0,392,0,0
419047,121-B,M GREEN,0,0,0,0
419048,121-B,PINK,0,0,0,0
419049,121-B,WHITE,137,254,0,0
419050,121-BF,WHITE,180,0,0,46
419051,121-C,,132,0,0,0
419052,121-C,BURGUNDY,0,0,0,0
419053,121-C,GREEN,0,0,0,0
419054,121-C,IVORY,0,103,0,0
419055,121-C,M GREEN,0,0,0,0
419056,121-C,WHITE,992.67,989,0,0
419057,121-CF,,44,0,0,66
419058,121-D,,0,0,0,0
419059,121-E,BURGUNDY,0,0,0,0
419060,121-E,GREEN,0,0,0,0
419061,121-E,IVORY,0,1304,0,0
419062,121-E,M GREEN,0,0,0,0
419063,121-E,PINK,0,0,0,0
419064,121-E,WHITE,798.33,154,0,0
419065,121-EB,IVORY,396,442,0,0
419066,121-EB,WHITE,550,0,0,266
419067,121-EBF,,0,0,0,0
419068,121-F,IVORY,0,0,0,0
419069,121-F,WHITE,36,4,0,0
419070,121-FB,BLUE,0,0,0,0
419071,121-FHG,,0,158,0,0
419072,121-FHP,,0,0,0,0
419073,121-FHR,,0,0,0,0
419074,121-FHW,,3.33,0,0,10
419075,121-FP,,0,10,0,0
419076,121-H,BURGUNDY,0,0,0,0
419077,121-H,GREEN,0,0,0,0
419078,121-H,IVORY,330,1166,0,0
419079,121-H,M GREEN,0,0,0,0
419080,121-H,PINK,0,0,0,0
419081,121-H,WHITE,1166,2311,0,0
419082,121-HG,,0,209,0,0
419083,121-HP,,0,113,0,0
419084,121-HR,223,220,126,0,0
419085,121-HW,,66,0,0,2
419086,121-I,IVORY,0,0,0,0
419087,121-I,WHITE,0,19,0,0
419088,121-IG,,16,16,0,0
419089,121-IP,,16,57,0,0
419090,121-IR,,64,23,0,0
419091,121-IW,,0,42,0,0
419092,121-JJM,IVORY,0,0,0,0
419093,121-JJM,PINK,0,0,0,0
419094,121-JJM,WHITE,0,0,0,0
419095,121-K,WHITE,66,192,0,0
419096,121-KF,WHITE,0,0,0,0
419097,121-L,IVORY,0,38,0,0
419098,121-L,WHITE,0,102,0,0
419099,121-LG,,0,0,0,0
419100,121-LP,,0,0,0,0
419101,121-LR,,0,78,0,0
419102,121-LSF,,0,0,0,0
419103,121-LSFB,BLUE,36,28,0,0
419104,121-LW,,0,55,0,0
419105,121-N,,0,0,0,0
419106,121-O,,0,0,2,0
419107,121-O,BLUE,0,48,0,0
419108,121-O,BURGUNDY,0,0,0,0
419109,121-O,GREEN,0,566,0,0
419110,121-O,IVORY,3276,0,0,1399
419111,121-O,M GREEN,0,0,0,0
419112,121-O,PINK,756,0,0,328
419113,121-O,WHITE,13004,9030,0,0
419114,121-P,BURGUNDY,0,0,0,0
419115,121-P,GREEN,0,0,0,0
419116,121-P,IVORY,180,183,0,0
419117,121-P,M GREEN,0,0,0,0
419118,121-P,PINK,0,0,0,0
419119,121-P,WHITE,156,0,0,110
419120,121-PF,,0,8,0,0
419121,121-PR,,0,0,0,0
419122,121-R,BURGUNDY,0,0,0,0
419123,121-R,GREEN,0,0,0,0
419124,121-R,IVORY,256,0,0,350
419125,121-R,M GREEN,0,0,0,0
419126,121-R,PINK,0,0,0,0
419127,121-R,WHITE,133,5,0,0
419128,121-RG,,40,1,192,0
419129,121-RP,,0,80,0,0
419130,121-RR,,37,25,0,0
419131,121-RW,,32,2,0,0
419132,121-S,BURGUNDY,0,0,0,0
419133,121-S,GREEN,0,0,0,0
419134,121-S,IVORY,612,84,0,0
