item_code,colour,category,issued_demand
725,IVORY,Cistern & Seat Cover,0
725,PINK,Cistern & Seat Cover,0
725,WHITE,Cistern & Seat Cover,0
PTA-71,,Cistern & Seat Cover,155
PTA-72,,Cistern & Seat Cover,49.67
PTA-73,,Cistern & Seat Cover,89.33
PTA-74,,Cistern & Seat Cover,22.33
PTA-78,,Cistern & Seat Cover,242
PTA-79,,Cistern & Seat Cover,60.33
PTA-80,,Cistern & Seat Cover,44.33
PTA-81,,Cistern & Seat Cover,0
PTA-82,,Cistern & Seat Cover,0
PTA-83,,Cistern & Seat Cover,0
PTA-84,,Cistern & Seat Cover,61.67
PTA-85,,Cistern & Seat Cover,20
121-HG,,Cocks Premium,0
121-HP,,Cocks Premium,0
121-HR,223,Cocks Premium,94
121-HW,,Cocks Premium,68
121-IG,,Cocks Premium,0
121-IP,,Cocks Premium,0
121-IR,,Cocks Premium,41
121-IW,,Cocks Premium,0
121-LG,,Cocks Premium,0
121-LP,,Cocks Premium,0
121-LR,,Cocks Premium,0
121-LW,,Cocks Premium,0
121-RG,,Cocks Premium,231
121-RP,,Cocks Premium,0
121-RR,,Cocks Premium,12
121-RW,,Cocks Premium,30
121-SG,,Cocks Premium,0
121-SP,,Cocks Premium,856
121-SR,,Cocks Premium,800.67
121-SW,,Cocks Premium,0
121-VG,,Cocks Premium,0
121-VP,,Cocks Premium,648
121-VR,,Cocks Premium,8
121-VW,,Cocks Premium,0
123-DG,33,Cocks Premium,0
123-DP,,Cocks Premium,0
123-DR,61,Cocks Premium,293
123-DW,,Cocks Premium,0
123-FHG,,Cocks Premium,0
123-FHP,,Cocks Premium,0
123-FHR,,Cocks Premium,0
123-FHW,,Cocks Premium,0
123-HG,,Cocks Premium,0
123-HNG,,Cocks Premium,0
123-HNP,,Cocks Premium,0
123-HNR,,Cocks Premium,0
123-HNW,,Cocks Premium,0
123-HP,,Cocks Premium,0
123-HR,,Cocks Premium,14
123-HW,,Cocks Premium,0
