"itemCode","colour","category","material","unfeasiblePieces","dummyPieces","orderPieces","bufferPieces","route","bomSourceStatus","currentSourceWeightKg","currentSourceRawRows","julySnapshot","augustSnapshot"
"WT-ISI-05","","Unclassified","Unclassified","23","23","0","0","no route in active local pool","positive source weight","17","2","not in snapshot","not in snapshot"
"PW31","","SWR Pipe","SWR","22.27","0","0","22.27","route present","positive source weight","3.6","3","missing/zero frozen weight","missing/zero frozen weight"
"A-413","","Unclassified","Unclassified","21","21","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
"U125","","UPVC Fitting","UPVC","20.91","0","0","20.91","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"PW74","","SWR Pipe","SWR","20.27","0","0","20.27","route present","positive source weight","4.7","3","not in snapshot","missing/zero frozen weight"
"4507","","Unclassified","Unclassified","20","20","0","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"4763","","Unclassified","Unclassified","19","19","0","0","no route in active local pool","positive source weight","0.258","2","missing/zero frozen weight","not in snapshot"
"U24T","","UPVC Fitting","UPVC","11.07","0","0","11.07","route present","positive source weight","0.26","2","missing/zero frozen weight","missing/zero frozen weight"
"RL04","","SWR Fitting","SWR","10.01","0","0","10.01","route present","absent from current source","","0","not in snapshot","missing/zero frozen weight"
"AS-248","","Unclassified","Unclassified","10","10","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
"WCT-3LL-07","","Unclassified","Unclassified","9","9","0","0","no route in active local pool","positive source weight","16","2","not in snapshot","not in snapshot"
"C887","","CPVC Fitting","CPVC","8.8","0","0","8.8","route present","positive source weight","0.0002","5","missing/zero frozen weight","missing/zero frozen weight"
"WT-4LL-07","","Unclassified","Unclassified","5","5","0","0","no route in active local pool","positive source weight","21","2","not in snapshot","not in snapshot"
"WCT-3LL-07 G","","Unclassified","Unclassified","4","4","0","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-671","","AGRI Fitting","AGRI","3.94","0","0","3.94","route present","positive source weight","0.0013","3","missing/zero frozen weight","missing/zero frozen weight"
"CH23","","CPVC Fitting","CPVC","3.72","0","0","3.72","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"CH25","","CPVC Fitting","CPVC","3.72","0","0","3.72","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"CH26","","CPVC Fitting","CPVC","2.48","0","0","2.48","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"PW33","","SWR Pipe","SWR","1.31","0","0","1.31","route present","positive source weight","7.1","3","not in snapshot","missing/zero frozen weight"
"WT-3LL-20","","Unclassified","Unclassified","1","1","0","0","no route in active local pool","positive source weight","37.5","2","not in snapshot","not in snapshot"
