id,run_id,cat_no,colour,qty
351,5,149-LSB,BLUE,120
352,5,152,GOLD,30
353,5,153,GOLD,30
354,5,CS-01,WHITE,60
355,5,CH-01,WHITE,60
356,5,125-O,IVORY,396
357,5,1817-C,IVORY,120
358,5,120-WS,WHITE,180
359,5,124-WS,WHITE,60
360,5,124-SR,R BLUE,108
361,5,144-SR,R BLUE,90
362,5,132-SR,R BLUE,26
363,5,124-O,WHITE,60
364,5,144-O,WHITE,132
365,5,105,WHITE,64
366,5,121-B,WHITE,87
367,5,PTA-26,WHITE,18
368,6,SNPTCSL-1,WHITE,20
369,6,SNPTCSL-9,IVORY,20
370,6,SNPTC-1,WHITE,20
371,6,SNPTC-9,IVORY,20
372,6,SNPT-89HF,WHITE,50
373,6,131-D,IVORY,13
374,6,124-Q,IVORY,0
375,6,144-Q,IVORY,0
376,6,129-Q,IVORY,0
377,6,132-Q,IVORY,0
378,6,145-Q,IVORY,0
379,6,1375-Q,IVORY,0
380,6,127-QP,PEACH,0
381,6,704,WHITE,0
382,6,P-121,GREY,0
383,6,P-124,GREY,0
384,6,P-144,GREY,0
385,6,323,WHITE,0
386,6,3272,WHITE,0
387,6,3272-B,WHITE,0
388,6,103,WHITE,0
389,6,1815-C,IVORY,0
390,6,1817-C,IVORY,0
391,6,1821-C,IVORY,0
392,6,188,WHITE,0
393,6,5221,WHITE,0
394,6,183,IVORY,0
395,6,169,,0
396,6,175,GREEN,0
397,6,123-Q,IVORY,0
398,6,124-QB,BLACK,0
399,6,144-QB,BLACK,0
400,6,1375-QP,PEACH,0
401,6,1831,IVORY,0
402,6,127-Q,IVORY,0
403,6,133-Q,IVORY,0
404,6,133-QB,BLACK,0
405,6,134-QB,BLACK,0
406,6,135-QB,BLACK,0
407,6,1375-QB,BLACK,0
408,6,145-QB,BLACK,0
409,6,131-DP,PEACH,10
410,6,145-I,WHITE,23
411,6,129,WHITE,0
412,6,130,WHITE,0
413,6,131,WHITE,0
414,6,132,WHITE,0
415,6,144,WHITE,0
