id,month,as_of_at,status,factors_json,note,created_at,segment,effective_from,weekly_release_version
661,2026-07,2026-08-24T13:52:20.950Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T13:52:20.950Z,PTMT,2026-07-01,1
735,2026-07,2026-08-25T05:22:53.695Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T05:22:53.695Z,PTMT,2026-07-01,1
750,2026-07,2026-08-25T09:00:23.017Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T09:00:23.017Z,PTMT,2026-07-01,1
758,2026-07,2026-08-25T09:03:43.329Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T09:03:43.329Z,PTMT,2026-07-01,1
766,2026-07,2026-08-25T09:08:16.865Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T09:08:16.865Z,PTMT,2026-07-01,1
849,2026-07,2026-08-25T10:16:10.003Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T10:16:10.003Z,PTMT,2026-07-01,1
850,2026-07,2026-08-25T10:17:47.477Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T10:17:47.477Z,PTMT,2026-07-01,1
795,2026-07,2026-08-25T09:15:10.199Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T09:15:10.199Z,PTMT,2026-07-01,1
865,2026-07,2026-08-25T12:25:16.581Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T12:25:16.581Z,PTMT,2026-07-01,1
866,2026-07,2026-08-25T12:29:09.609Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T12:29:09.609Z,PTMT,2026-07-01,1
937,2026-07,2026-08-26T01:28:38.689Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-26T01:28:38.689Z,PTMT,2026-07-01,1
824,2026-07,2026-08-25T09:56:16.437Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T09:56:16.437Z,PTMT,2026-07-01,1
