id,category,item_code,colour,segment
437,Cocks Standard,1241.0,GREEN,PTMT
438,Cocks Standard,1241.0,IVORY,PTMT
439,Cocks Standard,1241.0,M GREEN,PTMT
440,Cocks Standard,1241.0,PINK,PTMT
441,Cocks Standard,1241.0,WHITE,PTMT
442,Cocks Standard,125-O,BURGUNDY,PTMT
443,Cocks Standard,125-O,GREEN,PTMT
444,Cocks Standard,125-O,IVORY,PTMT
445,Cocks Standard,125-O,M GREEN,PTMT
446,Cocks Standard,125-O,PINK,PTMT
447,Cocks Standard,125-O,WHITE,PTMT
448,Cocks Standard,125-S,IVORY,PTMT
449,Cocks Standard,125-S,WHITE,PTMT
450,Cocks Standard,125-WS,IVORY,PTMT
451,Cocks Standard,125-WS,WHITE,PTMT
452,Cocks Standard,127-A,WHITE,PTMT
453,Cocks Standard,127-AB,.,PTMT
454,Cocks Standard,127-AP,IVORY,PTMT
455,Cocks Standard,127-AP,WHITE,PTMT
456,Cocks Standard,127-AS,IVORY,PTMT
457,Cocks Standard,127-AS,WHITE,PTMT
458,Cocks Standard,127-B,BURGUNDY,PTMT
459,Cocks Standard,127-B,GREEN,PTMT
460,Cocks Standard,127-B,IVORY,PTMT
461,Cocks Standard,127-B,M GREEN,PTMT
462,Cocks Standard,127-B,PINK,PTMT
463,Cocks Standard,127-B,WHITE,PTMT
464,Cocks Standard,127-C,BURGUNDY,PTMT
465,Cocks Standard,127-C,GREEN,PTMT
466,Cocks Standard,127-C,IVORY,PTMT
467,Cocks Standard,127-C,M GREEN,PTMT
468,Cocks Standard,127-C,PINK,PTMT
469,Cocks Standard,127-C,WHITE,PTMT
470,Cocks Standard,127-D,WHITE,PTMT
471,Cocks Standard,127-DB,BLACK,PTMT
472,Cocks Standard,127-DG,.,PTMT
473,Cocks Standard,127-DP,PEACH,PTMT
474,Cocks Standard,127-DR,R BLUE,PTMT
475,Cocks Standard,127-DW,.,PTMT
476,Cocks Standard,127-E,BURGUNDY,PTMT
477,Cocks Standard,127-E,GREEN,PTMT
478,Cocks Standard,127-E,IVORY,PTMT
479,Cocks Standard,127-E,M GREEN,PTMT
480,Cocks Standard,127-E,PINK,PTMT
481,Cocks Standard,127-E,WHITE,PTMT
482,Cocks Standard,127-EB,IVORY,PTMT
483,Cocks Standard,127-EB,WHITE,PTMT
484,Cocks Standard,127-H,BURGUNDY,PTMT
485,Cocks Standard,127-H,GREEN,PTMT
